velocity,Distance,Speed,SR,SplitD
3.25,16.05916667,3.297715783,,0.04513888889
3.26,16.10444444,3.289632616,,0.04527777778
3.24,16.14944444,3.282227349,,0.045
3.21,16.19402778,3.275053935,,0.04458333333
3.17,16.23805556,3.267224632,,0.04402777778
3.13,16.28152778,3.257825627,,0.04347222222
3.14,16.32513889,3.246592784,,0.04361111111
3.16,16.36902778,3.234394302,,0.04388888889
3.15,16.41277778,3.222279141,,0.04375
3.13,16.45625,3.21048499,,0.04347222222
3.12,16.49958333,3.198814823,,0.04333333333
3.12,16.54291667,3.187298241,,0.04333333333
3.12,16.58625,3.176224413,,0.04333333333
3.12,16.62958333,3.165884744,,0.04333333333
3.12,16.67291667,3.156470869,,0.04333333333
3.1,16.71597222,3.147910995,,0.04305555556
3.07,16.75861111,3.13966601,,0.04263888889
3.04,16.80083333,3.130957147,,0.04222222222
3.02,16.84277778,3.12121783,,0.04194444444
3,16.88444444,3.110242752,,0.04166666667
3.01,16.92625,3.098286447,,0.04180555556
3.02,16.96819444,3.08612041,,0.04194444444
3.03,17.01027778,3.074602829,,0.04208333333
3.05,17.05263889,3.06444393,,0.04236111111
3.07,17.09527778,3.05630814,,0.04263888889
3.08,17.13805556,3.050619707,,0.04277777778
3.06,17.18055556,3.047153239,,0.0425
3.03,17.22263889,3.04493226,,0.04208333333
3.02,17.26458333,3.042907375,,0.04194444444
3,17.30625,3.040466989,,0.04166666667
2.97,17.3475,3.037077146,,0.04125
2.94,17.38833333,3.032099751,,0.04083333333
2.93,17.42902778,3.025205309,,0.04069444444
2.93,17.46972222,3.01667093,,0.04069444444
2.94,17.51055556,3.007218106,,0.04083333333
2.96,17.55166667,2.997784176,,0.04111111111
2.93,17.59236111,2.988888974,,0.04069444444
2.91,17.63277778,2.98017551,,0.04041666667
2.9,17.67305556,2.971188013,,0.04027777778
2.9,17.71333333,2.961958418,,0.04027777778
2.9,17.75361111,2.952792023,,0.04027777778
2.9,17.79388889,2.94400611,,0.04027777778
2.92,17.83444444,2.93600627,,0.04055555556
2.94,17.87527778,2.929431225,,0.04083333333
